Year:year,Member State:text,Greenhouse gas (GHG) emission intensity:number,Indicative level-high:number,Indicative level-low:number
1995,Lithuania,56,,
1996,Lithuania,90,,
1997,Lithuania,75,,
1998,Lithuania,104,,
1999,Lithuania,110,,
2000,Lithuania,94,,
2001,Lithuania,80,,
2002,Lithuania,66,,
2003,Lithuania,60,,
2004,Lithuania,63,,
2005,Lithuania,98,,
2006,Lithuania,98,,
2007,Lithuania,82,,
2008,Lithuania,76,,
2009,Lithuania,78,,
2010,Lithuania,308,,
2011,Lithuania,240,,
2012,Lithuania,251,,
2013,Lithuania,184,,
2014,Lithuania,178,,
2015,Lithuania,185,,
2016,Lithuania,143,,
2017,Lithuania,84,,
2018,Lithuania,54,,
2019,Lithuania,73,,
2020,Lithuania,164,,
2021,Lithuania,127,,
1990,Croatia,332,,
1991,Croatia,198,,
1992,Croatia,314,,
1993,Croatia,329,,
1994,Croatia,221,,
1995,Croatia,246,,
1996,Croatia,186,,
1997,Croatia,281,,
1998,Croatia,315,,
1999,Croatia,286,,
2000,Croatia,278,,
2001,Croatia,296,,
2002,Croatia,353,,
2003,Croatia,384,,
2004,Croatia,279,,
2005,Croatia,294,,
2006,Croatia,304,,
2007,Croatia,389,,
2008,Croatia,336,,
2009,Croatia,263,,
2010,Croatia,209,,
2011,Croatia,295,,
2012,Croatia,280,,
2013,Croatia,197,,
2014,Croatia,168,,
2015,Croatia,202,,
2016,Croatia,204,,
2017,Croatia,188,,
2018,Croatia,130,,
2019,Croatia,163,,
2020,Croatia,155,,
2021,Croatia,138,,
1990,Belgium,353,,
1991,Belgium,356,,
1992,Belgium,343,,
1993,Belgium,350,,
1994,Belgium,359,,
1995,Belgium,347,,
1996,Belgium,320,,
1997,Belgium,291,,
1998,Belgium,312,,
1999,Belgium,259,,
2000,Belgium,267,,
2001,Belgium,251,,
2002,Belgium,259,,
2003,Belgium,260,,
2004,Belgium,261,,
2005,Belgium,258,,
2006,Belgium,247,,
2007,Belgium,236,,
2008,Belgium,230,,
2009,Belgium,211,,
2010,Belgium,209,,
2011,Belgium,186,,
2012,Belgium,199,,
2013,Belgium,184,,
2014,Belgium,166,,
2015,Belgium,220,,
2016,Belgium,162,,
2017,Belgium,170,,
2018,Belgium,199,,
2019,Belgium,170,,
2020,Belgium,167,,
2021,Belgium,139,,
1990,Spain,449,,
1991,Spain,444,,
1992,Spain,485,,
1993,Spain,457,,
1994,Spain,450,,
1995,Spain,496,,
1996,Spain,388,,
1997,Spain,428,,
1998,Spain,425,,
1999,Spain,501,,
2000,Spain,467,,
2001,Spain,417,,
2002,Spain,468,,
2003,Spain,413,,
2004,Spain,423,,
2005,Spain,440,,
2006,Spain,398,,
2007,Spain,411,,
2008,Spain,348,,
2009,Spain,318,,
2010,Spain,257,,
2011,Spain,319,,
2012,Spain,333,,
2013,Spain,271,,
2014,Spain,280,,
2015,Spain,318,,
2016,Spain,266,,
2017,Spain,306,,
2018,Spain,276,,
2019,Spain,215,,
2020,Spain,177,,
2021,Spain,165,,
1990,Portugal,519,,
1991,Portugal,526,,
1992,Portugal,621,,
1993,Portugal,543,,
1994,Portugal,506,,
1995,Portugal,573,,
1996,Portugal,436,,
1997,Portugal,466,,
1998,Portugal,474,,
1999,Portugal,576,,
2000,Portugal,482,,
2001,Portugal,459,,
2002,Portugal,537,,
2003,Portugal,437,,
2004,Portugal,481,,
2005,Portugal,532,,
2006,Portugal,447,,
2007,Portugal,418,,
2008,Portugal,413,,
2009,Portugal,389,,
2010,Portugal,277,,
2011,Portugal,328,,
2012,Portugal,392,,
2013,Portugal,312,,
2014,Portugal,294,,
2015,Portugal,360,,
2016,Portugal,292,,
2017,Portugal,359,,
2018,Portugal,306,,
2019,Portugal,251,,
2020,Portugal,200,,
2021,Portugal,167,,
1990,Hungary,484,,
1991,Hungary,486,,
1992,Hungary,504,,
1993,Hungary,495,,
1994,Hungary,475,,
1995,Hungary,480,,
1996,Hungary,476,,
1997,Hungary,472,,
1998,Hungary,483,,
1999,Hungary,468,,
2000,Hungary,447,,
2001,Hungary,445,,
2002,Hungary,436,,
2003,Hungary,480,,
2004,Hungary,438,,
2005,Hungary,363,,
2006,Hungary,366,,
2007,Hungary,364,,
2008,Hungary,353,,
2009,Hungary,310,,
2010,Hungary,306,,
2011,Hungary,314,,
2012,Hungary,319,,
2013,Hungary,279,,
2014,Hungary,262,,
2015,Hungary,262,,
2016,Hungary,252,,
2017,Hungary,265,,
2018,Hungary,250,,
2019,Hungary,227,,
2020,Hungary,215,,
2021,Hungary,188,,
1990,Slovenia,477,,
1991,Slovenia,366,,
1992,Slovenia,440,,
1993,Slovenia,434,,
1994,Slovenia,392,,
1995,Slovenia,398,,
1996,Slovenia,359,,
1997,Slovenia,378,,
1998,Slovenia,390,,
1999,Slovenia,343,,
2000,Slovenia,353,,
2001,Slovenia,379,,
2002,Slovenia,394,,
2003,Slovenia,385,,
2004,Slovenia,363,,
2005,Slovenia,362,,
2006,Slovenia,368,,
2007,Slovenia,392,,
2008,Slovenia,343,,
2009,Slovenia,329,,
2010,Slovenia,334,,
2011,Slovenia,343,,
2012,Slovenia,332,,
2013,Slovenia,308,,
2014,Slovenia,218,,
2015,Slovenia,257,,
2016,Slovenia,253,,
2017,Slovenia,255,,
2018,Slovenia,247,,
2019,Slovenia,238,,
2020,Slovenia,220,,
2021,Slovenia,211,,
1990,Romania,754,,
1991,Romania,793,,
1992,Romania,546,,
1993,Romania,608,,
1994,Romania,669,,
1995,Romania,588,,
1996,Romania,591,,
1997,Romania,461,,
1998,Romania,403,,
1999,Romania,396,,
2000,Romania,457,,
2001,Romania,453,,
2002,Romania,449,,
2003,Romania,512,,
2004,Romania,443,,
2005,Romania,389,,
2006,Romania,419,,
2007,Romania,495,,
2008,Romania,509,,
2009,Romania,449,,
2010,Romania,371,,
2011,Romania,454,,
2012,Romania,459,,
2013,Romania,364,,
2014,Romania,327,,
2015,Romania,347,,
2016,Romania,314,,
2017,Romania,332,,
2018,Romania,319,,
2019,Romania,294,,
2020,Romania,254,,
2021,Romania,212,,
1990,Italy,562,,
1991,Italy,536,,
1992,Italy,525,,
1993,Italy,518,,
1994,Italy,512,,
1995,Italy,541,,
1996,Italy,521,,
1997,Italy,512,,
1998,Italy,513,,
1999,Italy,495,,
2000,Italy,397,,
2001,Italy,385,,
2002,Italy,408,,
2003,Italy,445,,
2004,Italy,414,,
2005,Italy,397,,
2006,Italy,388,,
2007,Italy,380,,
2008,Italy,370,,
2009,Italy,352,,
2010,Italy,337,,
2011,Italy,326,,
2012,Italy,310,,
2013,Italy,271,,
2014,Italy,256,,
2015,Italy,282,,
2016,Italy,262,,
2017,Italy,263,,
2018,Italy,247,,
2019,Italy,232,,
2020,Italy,215,,
2021,Italy,234,,
1990,Ireland,768,,
1991,Ireland,767,,
1992,Ireland,768,,
1993,Ireland,752,,
1994,Ireland,740,,
1995,Ireland,748,,
1996,Ireland,734,,
1997,Ireland,739,,
1998,Ireland,716,,
1999,Ireland,719,,
2000,Ireland,674,,
2001,Ireland,694,,
2002,Ireland,650,,
2003,Ireland,618,,
2004,Ireland,595,,
2005,Ireland,601,,
2006,Ireland,552,,
2007,Ireland,517,,
2008,Ireland,494,,
2009,Ireland,474,,
2010,Ireland,485,,
2011,Ireland,456,,
2012,Ireland,487,,
2013,Ireland,461,,
2014,Ireland,450,,
2015,Ireland,436,,
2016,Ireland,429,,
2017,Ireland,398,,
2018,Ireland,353,,
2019,Ireland,315,,
2020,Ireland,281,,
2021,Ireland,332,,
1990,Netherlands,607,,
1991,Netherlands,584,,
1992,Netherlands,574,,
1993,Netherlands,576,,
1994,Netherlands,583,,
1995,Netherlands,571,,
1996,Netherlands,544,,
1997,Netherlands,542,,
1998,Netherlands,523,,
1999,Netherlands,506,,
2000,Netherlands,503,,
2001,Netherlands,525,,
2002,Netherlands,516,,
2003,Netherlands,520,,
2004,Netherlands,505,,
2005,Netherlands,492,,
2006,Netherlands,480,,
2007,Netherlands,484,,
2008,Netherlands,478,,
2009,Netherlands,445,,
2010,Netherlands,441,,
2011,Netherlands,428,,
2012,Netherlands,452,,
2013,Netherlands,466,,
2014,Netherlands,493,,
2015,Netherlands,524,,
2016,Netherlands,492,,
2017,Netherlands,461,,
2018,Netherlands,440,,
2019,Netherlands,390,,
2020,Netherlands,333,,
2021,Netherlands,339,,
1990,Germany,652,,
1991,Germany,656,,
1992,Germany,628,,
1993,Germany,620,,
1994,Germany,616,,
1995,Germany,594,,
1996,Germany,580,,
1997,Germany,566,,
1998,Germany,569,,
1999,Germany,550,,
2000,Germany,551,,
2001,Germany,566,,
2002,Germany,558,,
2003,Germany,543,,
2004,Germany,527,,
2005,Germany,510,,
2006,Germany,503,,
2007,Germany,520,,
2008,Germany,490,,
2009,Germany,486,,
2010,Germany,471,,
2011,Germany,488,,
2012,Germany,495,,
2013,Germany,488,,
2014,Germany,478,,
2015,Germany,448,,
2016,Germany,445,,
2017,Germany,412,,
2018,Germany,405,,
2019,Germany,347,,
2020,Germany,313,,
2021,Germany,348,,
1990,Malta,1605,,
1991,Malta,1131,,
1992,Malta,1035,,
1993,Malta,1407,,
1994,Malta,1178,,
1995,Malta,978,,
1996,Malta,997,,
1997,Malta,959,,
1998,Malta,954,,
1999,Malta,925,,
2000,Malta,839,,
2001,Malta,1004,,
2002,Malta,957,,
2003,Malta,969,,
2004,Malta,935,,
2005,Malta,884,,
2006,Malta,885,,
2007,Malta,886,,
2008,Malta,862,,
2009,Malta,863,,
2010,Malta,884,,
2011,Malta,878,,
2012,Malta,883,,
2013,Malta,731,,
2014,Malta,715,,
2015,Malta,654,,
2016,Malta,653,,
2017,Malta,435,,
2018,Malta,356,,
2019,Malta,359,,
2020,Malta,378,,
2021,Malta,349,,
1990,Greece,1188,,
1991,Greece,1131,,
1992,Greece,1153,,
1993,Greece,1118,,
1994,Greece,1101,,
1995,Greece,1042,,
1996,Greece,991,,
1997,Greece,1046,,
1998,Greece,1034,,
1999,Greece,978,,
2000,Greece,974,,
2001,Greece,983,,
2002,Greece,955,,
2003,Greece,914,,
2004,Greece,920,,
2005,Greece,915,,
2006,Greece,853,,
2007,Greece,879,,
2008,Greece,869,,
2009,Greece,854,,
2010,Greece,874,,
2011,Greece,882,,
2012,Greece,869,,
2013,Greece,807,,
2014,Greece,845,,
2015,Greece,738,,
2016,Greece,621,,
2017,Greece,656,,
2018,Greece,654,,
2019,Greece,605,,
2020,Greece,453,,
2021,Greece,397,,
1990,Czechia,771,,
1991,Czechia,766,,
1992,Czechia,764,,
1993,Czechia,755,,
1994,Czechia,764,,
1995,Czechia,772,,
1996,Czechia,778,,
1997,Czechia,727,,
1998,Czechia,719,,
1999,Czechia,669,,
2000,Czechia,683,,
2001,Czechia,683,,
2002,Czechia,665,,
2003,Czechia,600,,
2004,Czechia,583,,
2005,Czechia,611,,
2006,Czechia,606,,
2007,Czechia,609,,
2008,Czechia,597,,
2009,Czechia,567,,
2010,Czechia,555,,
2011,Czechia,546,,
2012,Czechia,509,,
2013,Czechia,477,,
2014,Czechia,480,,
2015,Czechia,492,,
2016,Czechia,501,,
2017,Czechia,472,,
2018,Czechia,464,,
2019,Czechia,431,,
2020,Czechia,389,,
2021,Czechia,397,,
1990,Bulgaria,559,,
1991,Bulgaria,540,,
1992,Bulgaria,612,,
1993,Bulgaria,677,,
1994,Bulgaria,584,,
1995,Bulgaria,539,,
1996,Bulgaria,513,,
1997,Bulgaria,551,,
1998,Bulgaria,565,,
1999,Bulgaria,516,,
2000,Bulgaria,487,,
2001,Bulgaria,532,,
2002,Bulgaria,491,,
2003,Bulgaria,541,,
2004,Bulgaria,544,,
2005,Bulgaria,497,,
2006,Bulgaria,485,,
2007,Bulgaria,608,,
2008,Bulgaria,572,,
2009,Bulgaria,532,,
2010,Bulgaria,534,,
2011,Bulgaria,587,,
2012,Bulgaria,528,,
2013,Bulgaria,485,,
2014,Bulgaria,479,,
2015,Bulgaria,487,,
2016,Bulgaria,467,,
2017,Bulgaria,499,,
2018,Bulgaria,426,,
2019,Bulgaria,426,,
2020,Bulgaria,362,,
2021,Bulgaria,398,,
1990,Cyprus,852,,
1991,Cyprus,840,,
1992,Cyprus,839,,
1993,Cyprus,839,,
1994,Cyprus,844,,
1995,Cyprus,834,,
1996,Cyprus,845,,
1997,Cyprus,854,,
1998,Cyprus,856,,
1999,Cyprus,869,,
2000,Cyprus,849,,
2001,Cyprus,786,,
2002,Cyprus,766,,
2003,Cyprus,773,,
2004,Cyprus,782,,
2005,Cyprus,800,,
2006,Cyprus,793,,
2007,Cyprus,795,,
2008,Cyprus,793,,
2009,Cyprus,776,,
2010,Cyprus,735,,
2011,Cyprus,759,,
2012,Cyprus,757,,
2013,Cyprus,666,,
2014,Cyprus,682,,
2015,Cyprus,670,,
2016,Cyprus,679,,
2017,Cyprus,661,,
2018,Cyprus,664,,
2019,Cyprus,642,,
2020,Cyprus,623,,
2021,Cyprus,605,,
1990,Estonia,1007,,
1991,Estonia,978,,
1992,Estonia,1000,,
1993,Estonia,1006,,
1994,Estonia,1155,,
1995,Estonia,1217,,
1996,Estonia,1225,,
1997,Estonia,1181,,
1998,Estonia,1141,,
1999,Estonia,1136,,
2000,Estonia,1075,,
2001,Estonia,1033,,
2002,Estonia,1019,,
2003,Estonia,1018,,
2004,Estonia,1004,,
2005,Estonia,999,,
2006,Estonia,953,,
2007,Estonia,1015,,
2008,Estonia,991,,
2009,Estonia,957,,
2010,Estonia,957,,
2011,Estonia,966,,
2012,Estonia,909,,
2013,Estonia,956,,
2014,Estonia,962,,
2015,Estonia,952,,
2016,Estonia,919,,
2017,Estonia,907,,
2018,Estonia,887,,
2019,Estonia,734,,
2020,Estonia,628,,
2021,Estonia,656,,
1990,Poland,1397,,
1991,Poland,1369,,
1992,Poland,1356,,
1993,Poland,1188,,
1994,Poland,1144,,
1995,Poland,1002,,
1996,Poland,976,,
1997,Poland,962,,
1998,Poland,935,,
1999,Poland,931,,
2000,Poland,922,,
2001,Poland,911,,
2002,Poland,907,,
2003,Poland,915,,
2004,Poland,912,,
2005,Poland,898,,
2006,Poland,914,,
2007,Poland,900,,
2008,Poland,880,,
2009,Poland,860,,
2010,Poland,853,,
2011,Poland,854,,
2012,Poland,832,,
2013,Poland,830,,
2014,Poland,818,,
2015,Poland,793,,
2016,Poland,775,,
2017,Poland,765,,
2018,Poland,771,,
2019,Poland,732,,
2020,Poland,697,,
2021,Poland,721,,
1990,EU-27,501,,
1991,EU-27,490,,
1992,EU-27,478,,
1993,EU-27,459,,
1994,EU-27,456,,
1995,EU-27,445,,
1996,EU-27,432,,
1997,EU-27,419,,
1998,EU-27,420,,
1999,EU-27,410,,
2000,EU-27,394,,
2001,EU-27,388,,
2002,EU-27,394,,
2003,EU-27,391,,
2004,EU-27,380,,
2005,EU-27,379,,
2006,EU-27,377,,
2007,EU-27,386,,
2008,EU-27,363,,
2009,EU-27,350,,
2010,EU-27,335,,
2011,EU-27,342,,
2012,EU-27,339,,
2013,EU-27,322,,
2014,EU-27,313,,
2015,EU-27,313,,
2016,EU-27,303,,
2017,EU-27,302,,
2018,EU-27,289,,
2019,EU-27,255,,
2020,EU-27,228,,
2021,EU-27,238,,
